Time,hour,minute,second,X-axis (g),Y-axis (g),Z-axis (g),Locomotion_Chloe,Feeding_Chloe,Locomotion_Steven,Feeding_Steven,IteragreementLocom,IteragreementFeeding
15:36:28,15,36,28,0.230469,0.8125,-0.628906,Walking,other,Walking,other,WalkingWalking,otherother
15:36:29,15,36,29,0.320313,0.808594,-0.289063,Walking,other,Walking,other,WalkingWalking,otherother
15:36:30,15,36,30,0.269531,0.871094,-0.621094,Walking,other,Walking,other,WalkingWalking,otherother
15:36:31,15,36,31,0.332031,0.734375,-0.296875,Walking,other,Walking,other,WalkingWalking,otherother
15:36:32,15,36,32,0.078125,0.8125,-0.675781,Walking,other,Walking,other,WalkingWalking,otherother
15:36:33,15,36,33,0.230469,0.636719,0.378906,Walking,other,Walking,other,WalkingWalking,otherother
15:36:34,15,36,34,0.96875,1.898438,0.507813,Walking,other,Walking,other,WalkingWalking,otherother
15:36:35,15,36,35,0.789063,1.140625,-0.941406,Walking,other,Walking,other,WalkingWalking,otherother
15:36:36,15,36,36,0.609375,0.558594,0.457031,Walking,other,Walking,other,WalkingWalking,otherother
15:36:37,15,36,37,0.492188,0.691406,0.359375,Standing,other,Standing,other,StandingStanding,otherother
15:36:38,15,36,38,0.3125,0.824219,-0.199219,Standing,other,Standing,other,StandingStanding,otherother
15:36:39,15,36,39,0.09375,0.808594,-0.425781,Standing,other,Standing,other,StandingStanding,otherother
15:36:40,15,36,40,0.144531,0.835938,-0.523438,Standing,other,Standing,other,StandingStanding,otherother
15:36:41,15,36,41,0.191406,0.785156,-0.671875,Standing,other,Standing,other,StandingStanding,otherother
15:36:42,15,36,42,0.105469,0.742188,-0.527344,Standing,other,Standing,other,StandingStanding,otherother
15:36:43,15,36,43,0.1875,0.753906,-0.542969,Standing,other,Standing,other,StandingStanding,otherother
15:36:44,15,36,44,0.238281,0.75,-0.597656,Standing,other,Standing,other,StandingStanding,otherother
15:36:45,15,36,45,0.15625,0.769531,-0.070313,Standing,other,Standing,other,StandingStanding,otherother
15:36:46,15,36,46,0.296875,0.914063,-0.484375,Standing,other,Standing,other,StandingStanding,otherother
15:36:47,15,36,47,0.238281,0.738281,-0.585938,Standing,other,Standing,other,StandingStanding,otherother
15:36:48,15,36,48,0.191406,0.792969,-0.476563,Standing,other,Standing,other,StandingStanding,otherother
15:36:49,15,36,49,0.582031,0.753906,-0.101563,Standing,other,Standing,other,StandingStanding,otherother
15:36:50,15,36,50,-0.195313,1.078125,-0.289063,Standing,other,Standing,other,StandingStanding,otherother
15:36:51,15,36,51,0.605469,0.675781,0.191406,Standing,other,Standing,other,StandingStanding,otherother
15:36:52,15,36,52,0.65625,0.558594,0.132813,Standing,other,Standing,other,StandingStanding,otherother
15:36:53,15,36,53,0.710938,0.539063,0.054688,Standing,other,Standing,other,StandingStanding,otherother
15:36:54,15,36,54,0.292969,0.890625,-0.488281,Standing,other,Standing,other,StandingStanding,otherother
15:36:55,15,36,55,0.183594,0.71875,-0.628906,Standing,other,Standing,other,StandingStanding,otherother
15:36:56,15,36,56,0.195313,0.695313,-0.671875,Standing,other,Standing,other,StandingStanding,otherother
15:36:57,15,36,57,-0.003906,0.613281,-0.667969,Standing,other,Standing,other,StandingStanding,otherother
15:36:58,15,36,58,0.230469,0.699219,-0.609375,Standing,other,Standing,other,StandingStanding,otherother
15:36:59,15,36,59,0.324219,0.683594,-0.519531,Standing,other,Standing,other,StandingStanding,otherother
15:37:00,15,37,0,0.296875,0.765625,-0.503906,Standing,other,Standing,other,StandingStanding,otherother
15:37:01,15,37,1,0.21875,0.78125,-0.503906,Standing,other,Standing,other,StandingStanding,otherother
15:37:02,15,37,2,0.679688,0.679688,-0.085938,Standing,other,Standing,other,StandingStanding,otherother
15:37:03,15,37,3,-0.265625,1.792969,0.21875,Standing,other,Standing,other,StandingStanding,otherother
15:37:04,15,37,4,0.367188,0.8125,-0.40625,Standing,other,Standing,other,StandingStanding,otherother
15:37:05,15,37,5,0.285156,0.75,-0.515625,Standing,other,Standing,other,StandingStanding,otherother
15:37:06,15,37,6,0.214844,0.773438,-0.425781,Standing,other,Standing,other,StandingStanding,otherother
15:37:07,15,37,7,0.160156,0.765625,-0.46875,Standing,other,Standing,other,StandingStanding,otherother
15:37:08,15,37,8,0.179688,0.769531,-0.519531,Standing,other,Standing,other,StandingStanding,otherother
15:37:09,15,37,9,0.671875,0.488281,0.246094,Standing,other,Standing,other,StandingStanding,otherother
15:37:10,15,37,10,0.691406,0.402344,0.144531,Standing,other,Standing,other,StandingStanding,otherother
15:37:11,15,37,11,0.820313,0.738281,0.078125,Standing,other,Standing,other,StandingStanding,otherother
15:37:12,15,37,12,0.679688,0.628906,0.175781,Standing,other,Standing,other,StandingStanding,otherother
15:37:13,15,37,13,0.675781,0.632813,0.0625,Standing,other,Standing,other,StandingStanding,otherother
15:37:14,15,37,14,0.667969,0.742188,-0.171875,Standing,other,Standing,other,StandingStanding,otherother
15:37:15,15,37,15,0.183594,1.210938,-0.152344,Standing,other,Standing,other,StandingStanding,otherother
15:37:16,15,37,16,0.378906,0.835938,-0.019531,Standing,other,Standing,other,StandingStanding,otherother
15:37:17,15,37,17,0.316406,0.886719,-0.046875,Standing,other,Standing,other,StandingStanding,otherother
15:37:18,15,37,18,0.59375,0.644531,0.0625,Standing,other,Standing,other,StandingStanding,otherother
15:37:19,15,37,19,0.628906,0.722656,0.160156,Standing,other,Standing,other,StandingStanding,otherother
15:37:20,15,37,20,0.59375,0.652344,0.023438,Standing,other,Standing,other,StandingStanding,otherother
15:37:21,15,37,21,0.628906,0.691406,0.132813,Standing,other,Standing,other,StandingStanding,otherother
15:37:22,15,37,22,0.550781,0.703125,0.007813,Standing,other,Standing,other,StandingStanding,otherother
15:37:23,15,37,23,0.542969,0.65625,0.015625,Standing,other,Standing,other,StandingStanding,otherother
15:37:24,15,37,24,0.3125,0.773438,-0.070313,Standing,other,Standing,other,StandingStanding,otherother
15:37:25,15,37,25,0.699219,0.859375,-0.582031,Standing,other,Standing,other,StandingStanding,otherother
15:37:26,15,37,26,0.5,0.507813,0.335938,Standing,other,Standing,other,StandingStanding,otherother
15:37:27,15,37,27,0.738281,0.410156,0.316406,Standing,other,Standing,other,StandingStanding,otherother
15:37:28,15,37,28,0.71875,0.574219,0.289063,Standing,other,Standing,other,StandingStanding,otherother
15:37:29,15,37,29,0.523438,0.480469,0.425781,Standing,other,Standing,other,StandingStanding,otherother
15:37:30,15,37,30,0.5,0.707031,0.296875,Standing,other,Standing,other,StandingStanding,otherother
15:37:31,15,37,31,0.285156,0.703125,0.414063,Standing,other,Standing,other,StandingStanding,otherother
15:37:32,15,37,32,0.511719,0.632813,0.382813,Standing,other,Standing,other,StandingStanding,otherother
15:37:33,15,37,33,0.421875,0.492188,0.691406,Standing,other,Standing,other,StandingStanding,otherother
15:37:34,15,37,34,0.355469,0.632813,0.664063,Standing,other,Standing,other,StandingStanding,otherother
15:37:35,15,37,35,0.382813,0.910156,0.121094,Standing,other,Standing,other,StandingStanding,otherother
15:37:36,15,37,36,0.058594,1.207031,-0.414063,Standing,other,Standing,other,StandingStanding,otherother
15:37:37,15,37,37,0.050781,0.902344,-0.496094,Standing,other,Standing,other,StandingStanding,otherother
15:37:38,15,37,38,0.042969,0.484375,-0.433594,Standing,other,Standing,other,StandingStanding,otherother
15:37:39,15,37,39,0.21875,0.820313,-0.472656,Standing,other,Standing,other,StandingStanding,otherother
15:37:40,15,37,40,-0.070313,0.945313,-0.695313,Standing,other,Standing,other,StandingStanding,otherother
15:37:41,15,37,41,0.105469,0.789063,-0.445313,Standing,other,Standing,other,StandingStanding,otherother
15:37:42,15,37,42,0.417969,0.828125,0.136719,Standing,other,Standing,other,StandingStanding,otherother
15:37:43,15,37,43,0.644531,0.671875,0.144531,Standing,other,Standing,other,StandingStanding,otherother
15:37:44,15,37,44,0.574219,0.609375,0.039063,Standing,other,Standing,other,StandingStanding,otherother
15:37:45,15,37,45,0.144531,0.957031,-0.667969,Standing,other,Standing,other,StandingStanding,otherother
15:37:46,15,37,46,0.199219,0.8125,0.015625,Standing,other,Standing,other,StandingStanding,otherother
15:37:47,15,37,47,0.523438,0.738281,0.230469,Standing,other,Standing,other,StandingStanding,otherother
15:37:48,15,37,48,0.65625,0.582031,0.128906,Standing,other,Standing,other,StandingStanding,otherother
15:37:49,15,37,49,0.679688,0.492188,0.007813,Standing,other,Standing,other,StandingStanding,otherother
15:37:50,15,37,50,0.691406,0.535156,0.144531,Standing,other,Standing,other,StandingStanding,otherother
15:37:51,15,37,51,0.703125,0.617188,0.164063,Standing,other,Standing,other,StandingStanding,otherother
15:37:52,15,37,52,0.636719,0.625,0.089844,Standing,other,Standing,other,StandingStanding,otherother
15:37:53,15,37,53,0.632813,0.621094,0.078125,Standing,other,Standing,other,StandingStanding,otherother
15:37:54,15,37,54,0.628906,0.660156,0.171875,Standing,other,Standing,other,StandingStanding,otherother
15:37:55,15,37,55,0.652344,0.664063,0.117188,Standing,other,Standing,other,StandingStanding,otherother
15:37:56,15,37,56,0.625,0.617188,0.140625,Standing,other,Standing,other,StandingStanding,otherother
15:37:57,15,37,57,0.605469,0.625,0.105469,Standing,other,Standing,other,StandingStanding,otherother
15:37:58,15,37,58,0.402344,0.585938,0.046875,Standing,other,Standing,other,StandingStanding,otherother
15:37:59,15,37,59,0.375,0.992188,0.203125,Standing,other,Standing,other,StandingStanding,otherother
15:38:00,15,38,0,0.628906,0.664063,0.183594,Standing,other,Standing,other,StandingStanding,otherother
15:38:01,15,38,1,0.640625,0.648438,0.195313,Standing,other,Standing,other,StandingStanding,otherother
15:38:02,15,38,2,0.648438,0.648438,0.113281,Standing,other,Standing,other,StandingStanding,otherother
15:38:03,15,38,3,0.605469,0.679688,0.132813,Standing,other,Standing,other,StandingStanding,otherother
15:38:04,15,38,4,0.097656,0.683594,-0.285156,Standing,other,Standing,other,StandingStanding,otherother
15:38:05,15,38,5,0.347656,0.800781,-0.34375,Standing,other,Standing,other,StandingStanding,otherother
15:38:06,15,38,6,0.132813,0.917969,-0.238281,Standing,other,Standing,other,StandingStanding,otherother
15:38:07,15,38,7,0.265625,0.808594,-0.230469,Standing,other,Standing,other,StandingStanding,otherother
15:38:08,15,38,8,0.132813,0.796875,-0.394531,Standing,other,Standing,other,StandingStanding,otherother
15:38:09,15,38,9,0.449219,0.691406,-0.636719,Standing,other,Standing,other,StandingStanding,otherother
15:38:10,15,38,10,-0.144531,0.792969,-1.449219,Standing,other,Standing,other,StandingStanding,otherother
15:38:11,15,38,11,-0.085938,1.265625,0.164063,Standing,other,Standing,other,StandingStanding,otherother
15:38:12,15,38,12,0.503906,0.832031,-0.042969,Standing,other,Standing,other,StandingStanding,otherother
15:38:13,15,38,13,0.128906,0.644531,-0.53125,Walking,other,Walking,other,WalkingWalking,otherother
15:38:14,15,38,14,0.035156,0.816406,-0.5625,Walking,other,Walking,other,WalkingWalking,otherother
15:38:15,15,38,15,-0.019531,0.644531,1.066406,Walking,other,Walking,other,WalkingWalking,otherother
15:38:16,15,38,16,0.742188,0.632813,0.457031,Walking,other,Walking,other,WalkingWalking,otherother
